"variable","countryname","countrycode","year","value"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sint Maarten (Dutch part)","SXM","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Slovak Republic","SVK","yr2000","9.0052156678"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Slovenia","SVN","yr2000","6.0974122092"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Solomon Islands","SLB","yr2000","8.271858911"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Somalia","SOM","yr2000","50.9889101713"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","South Africa","ZAF","yr2000","10.9222263771"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","South Sudan","SSD","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Spain","ESP","yr2000","4.2136095561"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sri Lanka","LKA","yr2000","3.6897545536"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Kitts and Nevis","KNA","yr2000","2.6865722874"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Lucia","LCA","yr2000","3.9873256642"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Martin (French part)","MAF","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","St. Vincent and the Grenadines","VCT","yr2000","3.0904196724"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sudan","SDN","yr2000","6.7635597024"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Suriname","SUR","yr2000","10.4574324888"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Swaziland","SWZ","yr2000","8.7193314912"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sweden","SWE","yr2000","6.427603911"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Switzerland","CHE","yr2000","3.1131035461"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Syrian Arab Republic","SYR","yr2000","7.3548206827"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Taiwan, China","TWN","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tajikistan","TJK","yr2000","12.2656707843"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tanzania","TZA","yr2000","16.3707296816"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Thailand","THA","yr2000","5.4306694871"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Timor-Leste","TMP","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Togo","TGO","yr2000","13.9232313469"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tonga","TON","yr2000","3.6045980381"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Trinidad and Tobago","TTO","yr2000","18.3531678521"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tunisia","TUN","yr2000","4.3168857136"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turkey","TUR","yr2000","3.8455479743"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turkmenistan","TKM","yr2000","25.8500930618"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Turks and Caicos Islands","TCA","yr2000","1.2628487861"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Tuvalu","TUV","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uganda","UGA","yr2000","15.678826202"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ukraine","UKR","yr2000","23.6467144595"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United Arab Emirates","ARE","yr2000","4.3118751423"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United Kingdom","GBR","yr2000","5.0448810334"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","United States","USA","yr2000","7.3401685667"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uruguay","URY","yr2000","3.0977880176"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Uzbekistan","UZB","yr2000","34.7494581874"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Vanuatu","VUT","yr2000","4.1774742659"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Venezuela, RB","VEN","yr2000","6.7016626498"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Vietnam","VNM","yr2000","5.8489076209"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Virgin Islands (U.S.)","VIR","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","West Bank and Gaza","WBG","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Yemen, Rep.","YEM","yr2000","2.8231314379"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Zambia","ZMB","yr2000","12.3008194597"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Zimbabwe","ZWE","yr2000","13.2905198233"
"Renewable energy consumption (% of total final energy consumption)","Afghanistan","AFG","yr2000","59.5295940413"
"Renewable energy consumption (% of total final energy consumption)","Albania","ALB","yr2000","41.6563640494"
"Renewable energy consumption (% of total final energy consumption)","Algeria","DZA","yr2000","0.4273472502"
"Renewable energy consumption (% of total final energy consumption)","American Samoa","ASM","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Andorra","ADO","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Angola","AGO","yr2000","75.4993720868"
"Renewable energy consumption (% of total final energy consumption)","Antigua and Barbuda","ATG","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Argentina","ARG","yr2000","11.0782187046"
"Renewable energy consumption (% of total final energy consumption)","Armenia","ARM","yr2000","7.1642573912"
"Renewable energy consumption (% of total final energy consumption)","Aruba","ABW","yr2000","0.166552325"
"Renewable energy consumption (% of total final energy consumption)","Australia","AUS","yr2000","8.423342353"
"Renewable energy consumption (% of total final energy consumption)","Austria","AUT","yr2000","26.4658145235"
"Renewable energy consumption (% of total final energy consumption)","Azerbaijan","AZE","yr2000","2.0656443178"
"Renewable energy consumption (% of total final energy consumption)","Bahamas, The","BHS","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Bahrain","BHR","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Bangladesh","BGD","yr2000","59.4263122264"
"Renewable energy consumption (% of total final energy consumption)","Barbados","BRB","yr2000","13.5200193566"
"Renewable energy consumption (% of total final energy consumption)","Belarus","BLR","yr2000","4.9826048546"
"Renewable energy consumption (% of total final energy consumption)","Belgium","BEL","yr2000","1.4475808567"
"Renewable energy consumption (% of total final energy consumption)","Belize","BLZ","yr2000","23.9377467095"
"Renewable energy consumption (% of total final energy consumption)","Benin","BEN","yr2000","70.2890014764"
"Renewable energy consumption (% of total final energy consumption)","Bermuda","BMU","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Bhutan","BTN","yr2000","95.4819174837"
"Renewable energy consumption (% of total final energy consumption)","Bolivia","BOL","yr2000","41.6104878923"
"Renewable energy consumption (% of total final energy consumption)","Bosnia and Herzegovina","BIH","yr2000","19.3529999926"
"Renewable energy consumption (% of total final energy consumption)","Botswana","BWA","yr2000","36.1365957827"
"Renewable energy consumption (% of total final energy consumption)","Brazil","BRA","yr2000","42.7987681959"
"Renewable energy consumption (% of total final energy consumption)","Brunei Darussalam","BRN","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Bulgaria","BGR","yr2000","7.9750157041"
"Renewable energy consumption (% of total final energy consumption)","Burkina Faso","BFA","yr2000","86.4814847269"
"Renewable energy consumption (% of total final energy consumption)","Burundi","BDI","yr2000","93.4506114422"
"Renewable energy consumption (% of total final energy consumption)","Cabo Verde","CPV","yr2000","32.69615701"
"Renewable energy consumption (% of total final energy consumption)","Cambodia","KHM","yr2000","81.1360839689"
"Renewable energy consumption (% of total final energy consumption)","Cameroon","CMR","yr2000","84.4826191933"
"Renewable energy consumption (% of total final energy consumption)","Canada","CAN","yr2000","20.5205754373"
"Renewable energy consumption (% of total final energy consumption)","Cayman Islands","CYM","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Central African Republic","CAF","yr2000","85.8919806068"
"Renewable energy consumption (% of total final energy consumption)","Chad","TCD","yr2000","97.841762935"
"Renewable energy consumption (% of total final energy consumption)","Channel Islands","CHI","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Chile","CHL","yr2000","31.3615102671"
"Renewable energy consumption (% of total final energy consumption)","China","CHN","yr2000","29.1682486951"
"Renewable energy consumption (% of total final energy consumption)","Colombia","COL","yr2000","28.025656926"
"Renewable energy consumption (% of total final energy consumption)","Comoros","COM","yr2000","53.5596988556"
"Renewable energy consumption (% of total final energy consumption)","Congo, Dem. Rep.","ZAR","yr2000","97.9399580928"
"Renewable energy consumption (% of total final energy consumption)","Congo, Rep.","COG","yr2000","72.6933362276"
"Renewable energy consumption (% of total final energy consumption)","Costa Rica","CRI","yr2000","32.9638520691"
"Renewable energy consumption (% of total final energy consumption)","Cote d'Ivoire","CIV","yr2000","62.8588804238"
"Renewable energy consumption (% of total final energy consumption)","Croatia","HRV","yr2000","17.5299596402"
"Renewable energy consumption (% of total final energy consumption)","Cuba","CUB","yr2000","35.6629459494"
"Renewable energy consumption (% of total final energy consumption)","Curacao","CUW","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Cyprus","CYP","yr2000","3.0966622548"
"Renewable energy consumption (% of total final energy consumption)","Czech Republic","CZE","yr2000","4.8391034886"
"Renewable energy consumption (% of total final energy consumption)","Denmark","DNK","yr2000","10.7456294931"
"Renewable energy consumption (% of total final energy consumption)","Djibouti","DJI","yr2000","33.9327196019"
"Renewable energy consumption (% of total final energy consumption)","Dominica","DMA","yr2000","11.2305878416"
"Renewable energy consumption (% of total final energy consumption)","Dominican Republic","DOM","yr2000","13.1368469816"
"Renewable energy consumption (% of total final energy consumption)","Ecuador","ECU","yr2000","20.0327158014"
"Renewable energy consumption (% of total final energy consumption)","Egypt, Arab Rep.","EGY","yr2000","8.1002972789"
"Renewable energy consumption (% of total final energy consumption)","El Salvador","SLV","yr2000","50.8640559769"
"Renewable energy consumption (% of total final energy consumption)","Equatorial Guinea","GNQ","yr2000","53.0091489971"
"Renewable energy consumption (% of total final energy consumption)","Eritrea","ERI","yr2000","76.7829730272"
"Renewable energy consumption (% of total final energy consumption)","Estonia","EST","yr2000","19.8341424555"
"Renewable energy consumption (% of total final energy consumption)","Ethiopia","ETH","yr2000","95.9838622419"
"Renewable energy consumption (% of total final energy consumption)","Faeroe Islands","FRO","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Fiji","FJI","yr2000","13.3783332457"
"Renewable energy consumption (% of total final energy consumption)","Finland","FIN","yr2000","31.5632956369"
"Renewable energy consumption (% of total final energy consumption)","France","FRA","yr2000","9.244493849"
"Renewable energy consumption (% of total final energy consumption)","French Polynesia","PYF","yr2000","9.3660957296"
"Renewable energy consumption (% of total final energy consumption)","Gabon","GAB","yr2000","72.7791214035"
"Renewable energy consumption (% of total final energy consumption)","Gambia, The","GMB","yr2000","50.1097092704"
"Renewable energy consumption (% of total final energy consumption)","Georgia","GEO","yr2000","47.2542755689"
"Renewable energy consumption (% of total final energy consumption)","Germany","DEU","yr2000","3.6814570119"
"Renewable energy consumption (% of total final energy consumption)","Ghana","GHA","yr2000","73.4918958358"
"Renewable energy consumption (% of total final energy consumption)","Greece","GRC","yr2000","7.5207859297"
"Renewable energy consumption (% of total final energy consumption)","Greenland","GRL","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Grenada","GRD","yr2000","9.2699199515"
"Renewable energy consumption (% of total final energy consumption)","Guam","GUM","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Guatemala","GTM","yr2000","62.7429437986"
"Renewable energy consumption (% of total final energy consumption)","Guinea","GIN","yr2000","89.6427724892"
"Renewable energy consumption (% of total final energy consumption)","Guinea-Bissau","GNB","yr2000","91.5578508664"
"Renewable energy consumption (% of total final energy consumption)","Guyana","GUY","yr2000","30.6350509269"
"Renewable energy consumption (% of total final energy consumption)","Haiti","HTI","yr2000","76.0401421634"
"Renewable energy consumption (% of total final energy consumption)","Honduras","HND","yr2000","55.1276055104"
"Renewable energy consumption (% of total final energy consumption)","Hong Kong SAR, China","HKG","yr2000","0.5974321592"
"Renewable energy consumption (% of total final energy consumption)","Hungary","HUN","yr2000","5.1785593651"
"Renewable energy consumption (% of total final energy consumption)","Iceland","ISL","yr2000","65.6445004829"
"Renewable energy consumption (% of total final energy consumption)","India","IND","yr2000","52.3787225267"
"Renewable energy consumption (% of total final energy consumption)","Indonesia","IDN","yr2000","45.1516922089"
"Renewable energy consumption (% of total final energy consumption)","Iran, Islamic Rep.","IRN","yr2000","0.4383998622"
"Renewable energy consumption (% of total final energy consumption)","Iraq","IRQ","yr2000","0.3456983634"
"Renewable energy consumption (% of total final energy consumption)","Ireland","IRL","yr2000","2.0341668884"
"Renewable energy consumption (% of total final energy consumption)","Isle of Man","IMY","yr2000",".."
"Renewable energy consumption (% of total final energy consumption)","Israel","ISR","yr2000","5.9706397565"
"Renewable energy consumption (% of total final energy consumption)","Italy","ITA","yr2000","5.1201598585"
"Renewable energy consumption (% of total final energy consumption)","Jamaica","JAM","yr2000","11.9021413382"
